English,Vietnamese
,Kết luận: Có thể kiểm soát được kích thước và tỷ lệ bao hoạt chất của các hạt vi cầu xốp có chứa cellulose thông qua điều chỉnh đường kính và có thể giúp kiểm soát được quá trình giải phóng dược chất của hạt vi cầu.
,Đặc điểm đề kháng kháng sinh của các tác nhân gây nhiễm khuẩn bệnh viện và các yếu tố nguy cơ tử vong tại khoa hồi sức tích cực Bệnh viện Bạch Mai
,"Cơn bão giáp, một bệnh đe doạ tính mạng, đòi hỏi các bác sĩ phải tiếp cận, chẩn đoán và điều trị thích hợp."
,"Nó được nhận ra là hậu quả của một số yếu tố, bao gồm nhiễm trùng, phẫu thuật, bệnh cấp tính và hiếm khi là chấn thương."
,Việc kiểm soát cơn bão giáp ở bệnh nhân chấn thương là một thách thức vì bác sĩ cấp cứu có xu hướng tham gia vào các chấn thương thông thường khác.
,Chúng tôi báo cáo một trường hợp bệnh nhân đa chấn thương do tai nạn giao thông được chẩn đoán là cơn bão giáp.
,"Do đó, các bác sĩ ngoại khoa có nhiều kinh nghiệm hơn trong chẩn đoán và xử trí cơn bão giáp ở bệnh nhân chấn thương."
,"Nhu cầu đào tạo cha mẹ trong giáo dục tình dục cho học sinh trung học cơ sở An Hoà, Tây Ninh, năm 2020"
,Mô tả đặc điểm đề kháng kháng sinh của nhiễm khuẩn bệnh viện và các yếu tố nguy cơ tử vong tại khoa hồi sức tích cực Bệnh viện Bạch Mai.
,"Đối tượng và phương pháp: Nghiên cứu tiến cứu, mô tả cắt ngang 970 bệnh nhân điều trị trên 48 giờ tại Khoa Hồi sức tích cực, Bệnh viện Bạch Mai từ tháng 8/2019 đến tháng 7/2020."
,"Kết quả: Tỷ lệ nhiễm khuẩn bệnh viện là 14%, căn nguyên vi khuẩn thường gặp nhất là A. Baumannii (28,2%), K. pneumoniae (19,7%), P. aeruginosa (6,3%), căn nguyên nấm thường gặp nhất là Candida Albicans (8,6%)."
,"95% A. Baumannii, K. pneumoniae, P. aeruginosa kháng Cephalosporin, Quinolone, 70% - 96% kháng Carbapenem, nhóm colistin có tỷ lệ đề kháng thấp nhất (A. Baumannii 0%, K. pneumoniae 23%, P. aeruginosa 25%)."
,"Với nhóm Aminoglycoside, K. pneumoniae ít đề kháng hơn (32%) so với các chủng A. Baumannii (88%) và P. aeruginosa (60%)."
,"970 bệnh nhân nghiên cứu có tỷ lệ tử vong là 25% (24 3/9 70), tỷ lệ tử vong do nhiễm khuẩn bệnh viện là 33,6% (4 6/1 37)."
,"Các yếu tố độc lập làm tăng tỷ lệ tử vong là ức chế miễn dịch (OR 2,3; 95% CI 1,4-3,86; p  0,01), thở máy (OR 14,6; 95% CI 5,4-39,6; p  0,01), catheter (OR 1,83; 95% CI 1,2-2,7; p  0,01), đặt thông tiểu (OR 2,0; 95% CI 1,2-2,7; p"
,"Kết luận: Nguyên nhân nhiễm khuẩn bệnh viện thường gặp nhất là A. Baumannii, K. pneumoniae, P. aeruginosa, các vi khuẩn này có tỷ lệ đề kháng từ 80% - 96% với nhóm kháng sinh Carbapenem, tỷ lệ đề kháng thấp với nhóm Colistin."
,"Các yếu tố nguy cơ độc lập góp phần làm tăng tỷ lệ tử vong là ức chế miễn dịch, thủ thuật xâm lấn và nhiễm khuẩn đa kháng thuốc."
,Đánh giá tỷ lệ lấy tinh trùng ở bệnh nhân vô tinh không bế tắc có mất đoạn AZF
,"Mục tiêu: Xác định nhu cầu đào tạo về GDGT cho phụ huynh học sinh trường THCS An Hoà, huyện Trảng Bàng, tỉnh Tây Ninh."
,"Phương pháp nghiên cứu: Nghiên cứu cắt ngang, sử dụng phương pháp chọn mẫu cụm với đơn vị cụm là lớp."
,Số liệu được thu thập bằng cách phân tích bộ câu hỏi tự điền.
,Kết quả: Tỷ lệ phụ huynh có nhu cầu đào tạo về GDGT là 60%.
,"Đa số phụ huynh cần thông tin phù hợp về giáo dục giới tính (72%), kỹ năng giao tiếp với trẻ (53,4%)."
,"Kết luận: Nghiên cứu này nhằm tạo cơ sở khoa học, góp phần phát triển các chương trình giáo dục sức khoẻ kịp thời, hiệu quả và lâu dài về giáo dục giới tính cho phụ huynh vị thành niên."
,Tổng quan về chi phí  hiệu quả của các liệu pháp nhắm trúng đích trong điều trị ung thư phổi không tế bào nhỏ
,"Khảo sát đặc điểm chung của bệnh nhân vô tinh do mất đoạn AZF, đánh giá tỷ lệ lấy tinh trùng ở bệnh nhân vô sinh do mất đoạn AZF."
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu hồi cứu trên 26 bệnh nhân vô tinh không bế tắc có mất đoạn AZF tại Bệnh viện Nam học và Hiếm muộn Hà Nội từ tháng 12/2016 đến tháng 12/2021.
,"Kết quả: Tuổi trung bình của bệnh nhân nghiên cứu là 32,5  5,03 tuổi."
,"Tuổi nhỏ nhất là 26 tuổi, lớn nhất là 56 tuổi."
,"Thời gian vô sinh trung bình của nhóm nghiên cứu là 3,32  1,34, ngắn nhất là 1 năm và dài nhất là 5 năm."
,"Đối với các trường hợp mất đoạn AZF, tỷ lệ lấy tinh trùng ở AZFa, AZFb, AZFc lần lượt là 0%, 54,55% và 42,86%."
,Kết luận: Nghiên cứu này củng cố tính ưu việt của kỹ thuật micro TESE ở nhóm bệnh nhân vô tinh không bế tắc cũng như cho thấy tỷ lệ lấy tinh trùng ở mỗi nhóm mất đoạn AZF.
,"Tác dụng hạ đường huyết, tăng lipid máu và xơ vữa động mạch trên chuột đái tháo đường"
,Nghiên cứu này nhằm khảo sát tác dụng hạ đường huyết và hạ lipid máu của cao chiết lá Trầu không (MIL) được khảo sát trên mô hình chuột đái tháo đường.
,Chiều cao cơ đáy chậu ở phụ nữ mang thai tại Bệnh viện Đại học Y dược thành phố Hồ Chí Minh
,"Liệu pháp nhắm trúng đích trong điều trị ung thư phổi không tế bào nhỏ sẽ kéo dài thời gian sống của bệnh nhân lâu hơn so với liệu pháp hoá trị liệu, nhưng chi phí của nó cao hơn."
,"Do đó, trong nghiên cứu này, chúng tôi sẽ tìm ra bằng chứng về chi phí  hiệu quả của liệu pháp nhắm trúng đích so với phương pháp hoá trị để đưa ra khuyến cáo trong việc lựa chọn phương pháp điều trị thích hợp."
,"Phương pháp: Tiến hành tổng quan tài liệu có hệ thống về chi phí  hiệu quả, QALYs,... dựa trên Pubmed, Embase và Cochrane database,... từ năm 2000 đến tháng 8 năm 2021."
,Kết quả: 6 trong số 128 kết quả có đủ các tiêu chí phù hợp với bảng kiểm CHEERS và được đưa vào nghiên cứu.
,"Các ICER của erlotinib, afatinib và osimertinib lần lượt là  85927,4 / QALY,  20758-33416,39 / QALY, và  23760,1-51615,1 / QALY so với các phương pháp điều trị hoá chất khác."
,Kết luận: Erlotinib và afatinib trong điều trị bước một và osimertinib trong điều trị bước hai có chi phí hiệu quả hơn so với hoá trị liệu.
,Giảm giá thành thuốc nhắm trúng đích thấp hơn ngưỡng thanh toán của mỗi quốc gia sẽ có giá trị quan trọng đối với bệnh nhân ung thư phổi không tế bào nhỏ có khả năng tiếp cận và kết quả kinh tế có thể trở nên thuận lợi hơn.
,Mối liên quan giữa một số đặc điểm cận lâm sàng và hình ảnh PET/CT ở bệnh nhân sau nhồi máu cơ tim
,"Sự tăng trưởng chiều cao cơ bản của phụ nữ mang thai tại Khoa Sản, Bệnh viện Đại học Y Dược Thành phố Hồ Chí Minh - Brand 2 không giống như phụ nữ mang thai người Caucasian."
,"Do đó, cần đánh giá độ đặc hiệu và độ nhạy của các hướng dẫn về các tiêu chuẩn tăng trưởng chiều cao cơ bản bất thường trước khi áp dụng tại Việt Nam."
,"Nghiên cứu tiến cứu mô tả hàng loạt ca được thực hiện tại Khoa Sản, Bệnh viện Đại học Y Dược Thành phố Hồ Chí Minh-Brand 2 từ tháng 12/2021 đến tháng 10/2022."
,"Hiệu quả can thiệp nâng cao kỹ năng giao tiếp - giáo dục sức khoẻ phòng chống bệnh tay chân miệng cho nhân viên y tế tại 4 xã của huyện Đại Từ, tỉnh Thái Nguyên năm 2018"
,Khảo sát một số đặc điểm cận lâm sàng và mối liên quan với hình ảnh PET / CT ở bệnh nhân sau nhồi máu cơ tim.
,"Đối tượng và phương pháp: Nghiên cứu mô tả cắt ngang trên 45 bệnh nhân sau nhồi máu cơ tim được điều trị tại Viện Tim mạch, Bệnh viện Quân y 108 từ năm 2011 đến năm 2015."
,"Các dấu hiệu lâm sàng, cận lâm sàng được thu thập và xạ hình SPECT tưới máu cơ tim được thực hiện."
,PET / CT tim 18 F-FDG được đánh giá để đánh giá khả năng sống còn của cơ tim và chụp động mạch vành được thực hiện cho những bệnh nhân có chỉ định.
,"Kết quả: Không có sự khác biệt về các thông số EFsp (phân suất tống máu), thể tích cuối tâm trương (EDV), thể tích cuối tâm thu (ESV) giữa 3 nhóm (nhóm thuyền viên, nhóm thoát vị và nhóm hỗn hợp)."
,"Kết luận: Trong đánh giá khả năng sống của cơ tim, mức độ nặng và đặc điểm tổn thương trên chụp mạch vành không phản ánh sự hiện diện của khả năng sống của cơ tim đánh giá bằng 18 F-FDG PET / CT."
,Mức độ rối loạn chức năng thất trái trên siêu âm tim không liên quan đến sự hiện diện của cơ tim theo 18 F-FDG PET / CT.
,Phẫu thuật nội soi điều trị viêm xương chũm cấp ở trẻ em
,"Mục tiêu của nghiên cứu này là đánh giá hiệu quả can thiệp nâng cao kỹ năng truyền thông - giáo dục sức khoẻ phòng chống bệnh tay chân miệng cho nhân viên y tế tại 4 xã của huyện Đại Từ, tỉnh Thái Nguyên."
,Phương pháp nghiên cứu: Thiết kế nghiên cứu can thiệp.
,Tất cả nhân viên y tế và nhân viên y tế tại 4 xã của huyện Đại Từ đều được nhận vào nghiên cứu.
,"Kết quả: Hiệu quả can thiệp của nhân viên y tế: về kiến thức, thái độ, thực hành lần lượt là 0,1%; 28,5% và 34,4%; về tư vấn, nói chuyện về sức khoẻ lần lượt là 37,8% và 41,6%."
,"Kết luận: Để phòng ngừa bệnh tay chân miệng hiệu quả, cần tăng cường công tác truyền thông giáo dục sức khoẻ cho nhân viên y tế tuyến xã."
,"Trong đó, cần tập trung xây dựng các chương trình nâng cao kiến thức, kỹ năng phòng chống bệnh tay chân miệng phù hợp với từng thính lực để tối đa hoá sự tham gia của cộng đồng."
,NGHIÊN CỨU ĐÁNH GIÁ KẾT QUẢ ĐIỀU TRỊ TÓM TẮT Nghiên cứu ứng dụng phẫu thuật nội soi điều trị ung thư biểu mô tế bào gai ở trẻ em tại bệnh viện Bạch Mai
,"Mô tả đặc điểm lâm sàng, nội soi và chụp cắt lớp vi tính (CLVT) viêm xương chũm cấp ở trẻ em."
,(4) Loại bỏ V.A. và kiểm soát các yếu tố môi trường là điều trị hỗ trợ đảm bảo tính ổn định và hiệu quả điều trị.
,Đánh giá hiệu quả của phẫu thuật cắt xương chũm và đặt đường hầm xuyên thành ngực.
,"Với phẫu thuật cắt xương chũm và đặt OTK xuyên gan, 40/44 (91%) tai khô sau mổ 4 tuần và 44/44 (100%) tai khô sau 6 tháng."
,Kết luận: (1) Khám lâm sàng kết hợp nội soi tai và CT scan xương thái dương là 3 yếu tố cơ bản đảm bảo không bỏ sót VXCC.
,"(2) Đặt OTK trong khoang xương chũm, ngoài việc giúp dẫn lưu dịch tiết và thông khí khoang xương chũm, còn có tác dụng theo dõi kết quả điều trị."
,"(3) Với kết quả 44/44 (100%) trường hợp khô tai, kỹ thuật cắt xương chũm đặt OTK trong ống tai là kỹ thuật hiệu quả trong điều trị VXCC ở trẻ em, có khả năng ứng dụng rộng rãi."
,Tạo hình khuyết hổng hầu họng sau cắt thanh quản toàn phần bằng vạt đảo động mạch thượng đòn: Báo cáo ca lâm sàng
,Đánh giá kết quả điều trị nội soi viêm khớp gối nhiễm khuẩn tại Bệnh viện Bạch Mai.
,"Kết luận: Nội soi điều trị viêm khớp nhiễm khuẩn khớp gối là phương pháp hiệu quả, giúp cải thiện mức độ đau, chức năng khớp gối và chất lượng cuộc sống của bệnh nhân."
,Đối tượng và phương pháp nghiên cứu: Nghiên cứu mô tả 57 bệnh nhân với 57 khớp gối được chẩn đoán viêm khớp nhiễm khuẩn được phẫu thuật nội soi từ tháng 9/2018 đến tháng 9/2020 tại khoa Chấn thương Chỉnh hình - Cột sống - Bệnh viện Bạch Mai. Kết quả sau mổ được đánh giá bằng thang điểm đánh giá kết quả tổn thương khớp gối và điểm kết cục thoái hoá khớp (KOOS).
